,content,replyCount,retweetCount,likeCount,quoteCount,year,month,day
58,"📲 14.30 Uhr - Schalten Sie heute ein! Die @OMVBund freut sich auf den Austausch über die Anliegen von #Aussiedler und warum diese #ausverantwortung in der #CDU zu Hause sind.  

👉 https://t.co/oeOWFQt1kD https://t.co/jP99kZseiu",21,4,28,0,2021,2,27
59,"Solidarität in der #Corona-Pandemie. Bundestag verabschiedet weitere Hilfsmaßnahmen für Familien &amp; Unternehmen: 
✅ #Kinderbonus: 150 € pro Kind 
✅ #Mehrwertsteuersenkung: Gastronomie auf 7% 
✅ #Verlustrücktrag: mehr Liquidität für Unternehmen 

👉https://t.co/W370iVHjoD https://t.co/uryclpLOyJ",50,17,52,3,2021,2,26
60,"In einer ersten Zwischenbilanz zu den Corona-Impfungen bestätigt Gesundheitsminister @jensspahn: „Fast alle Bewohner von Alten- &amp; Pflegeheimen haben inzwischen ein erstes Impfangebot bekommen. Viele sind auch schon zweitgeimpft. Das zeigt Wirkung.“ 

👉🏼 https://t.co/r6KQ1sq9pn https://t.co/BevX6Ws55J",320,18,83,12,2021,2,26
61,"📱Einschalten: Um 20.15 Uhr trifft sich @PaulZiemiak heute zum Instagram Live mit @ChBaldauf.🍿  
In 17 Tagen geht es um die Zukunft von mehr als 4 Mio. Menschen in #RheinlandPfalz. Denn: Rheinland-Pfalz kann es besser. Und die #CDU macht RLP besser.  
#teamcdu #wirmachendas https://t.co/YmqzUtHIzg",32,17,42,1,2021,2,25
62,"🔴📲 Jetzt einschalten! Unser Vorsitzender @ArminLaschet spricht drüben bei Instagram LIVE mit Prof. Dr. Wolfgang Reinhart, Vorsitzender der @CDU_FraktionBW. 🗳 Am 14. März @CDU_BW wählen: Für ein starkes Ländle. #ltwbw21 
👉🏼https://t.co/rFgMz3PnlA",14,8,33,0,2021,2,25
63,"🎂🎉 Lieber Hermann @groehe, lieber Generalsekretär a.D., die CDU &amp; das Konrad-Adenauer-Haus wünschen alles Gute zum 60. Geburtstag! https://t.co/hQLTHGaI3u",22,16,134,4,2021,2,25
64,"Digitale Grüße nach #MecklenburgVorpommern! 
Heute Abend hat unser Vorsitzender Ministerpräsident @ArminLaschet an der Online-Sitzung des Landesvorstands der @CDUMV teilgenommen. Wir wünschen allen Kandidatinnen &amp; Kandidaten ein erfolgreiches #Superwahljahr2021! #CDUMV https://t.co/yqRUHcUoVU",24,10,57,1,2021,2,24
65,"🇩🇪 🤝 🇺🇸 
Was unser Generalsekretär sagt 👇 https://t.co/tfEowYe2vt",12,2,42,2,2021,2,24
66,"Einschalten! 🍿
⏰ In einer Stunde geht es los: #jetztZukunft. Der Talk. @cducsubt https://t.co/utxSnxxCzK",6,6,29,0,2021,2,24
67,"Gesundheitsminister @jensspahn im #Bundestag: „Schnelltests und Selbsttests helfen uns dabei, schrittweise mehr Sicherheit im Alltag zu haben. Wir haben Tag um Tag mehr Mittel, um dem Virus etwas entgegenzusetzen.”

👉🏼 https://t.co/VfjkoZHm8q https://t.co/8bqUdXhai1",114,15,76,8,2021,2,24
